,日付,コンテスト,順位,パフォーマンス,新Rating,差分,リンク,スコア,ペナルティ,タイム(分),タイム(秒)
sample_data1,2023-05-28,AtCoder Regular Contest 161,1922,516,390,+13,https://atcoder.jp/contests/arc161,300,5,75,41
sample_data1,2023-05-20,トヨタ自動車プログラミングコンテスト2023#2(AtCoder Beginner Contest 302),3526,716,377,+44,https://atcoder.jp/contests/abc302,600,0,57,5
sample_data1,2023-05-13,パナソニックグループプログラミングコンテスト2023（AtCoder Beginner Contest 301）,5481,372,333,+4,https://atcoder.jp/contests/abc301,300,1,32,29
sample_data1,2023-04-29,ユニークビジョンプログラミングコンテスト2023 春 (AtCoder Beginner Contest 300),4376,498,329,+20,https://atcoder.jp/contests/abc300,300,1,56,41
sample_data1,2023-04-09,AtCoder Beginner Contest 297,2780,800,309,+58,https://atcoder.jp/contests/abc297,1000,1,38,34
sample_data1,2023-04-01,AtCoder Beginner Contest 296,5512,334,251,+10,https://atcoder.jp/contests/abc296,600,7,75,16
sample_data1,2023-03-19,AtCoder Beginner Contest 294,5556,187,241,-9,https://atcoder.jp/contests/abc294,300,0,7,49
sample_data1,2023-03-11,AtCoder Beginner Contest 293,5472,404,250,+17,https://atcoder.jp/contests/abc293,300,0,16,31
sample_data1,2023-03-04,AtCoder Beginner Contest 292,4656,474,233,+26,https://atcoder.jp/contests/abc292,600,3,83,39
sample_data1,2023-02-26,AtCoder Beginner Contest 291（Sponsored by TOYOTA SYSTEMS）,5450,270,207,+7,https://atcoder.jp/contests/abc291,300,0,7,28
sample_data1,2023-02-19,Toyota Programming Contest 2023 Spring Qual B（AtCoder Beginner Contest 290）,4453,346,200,+17,https://atcoder.jp/contests/abc290,600,6,93,19
sample_data1,2023-02-11,Ｓｋｙ株式会社プログラミングコンテスト2023（AtCoder Beginner Contest 289）,4708,507,183,+34,https://atcoder.jp/contests/abc289,600,1,94,16
sample_data1,2023-02-04,Toyota Programming Contest 2023 Spring Qual A（AtCoder Beginner Contest 288）,5733,272,149,+15,https://atcoder.jp/contests/abc288,300,0,12,28
sample_data1,2023-01-28,ユニークビジョンプログラミングコンテスト2023 新春 (AtCoder Beginner Contest 287),4865,384,134,+27,https://atcoder.jp/contests/abc287,300,0,10,45
sample_data1,2023-01-21,ウルシステムズプログラミングコンテスト2023(AtCoder Beginner Contest 286),4063,496,107,+37,https://atcoder.jp/contests/abc286,300,0,8,50
sample_data1,2023-01-15,AtCoder Beginner Contest 285,3473,599,70,+40,https://atcoder.jp/contests/abc285,600,0,41,11
sample_data1,2023-01-07,AtCoder Beginner Contest 284,7379,163,30,+13,https://atcoder.jp/contests/abc284,300,2,26,29
sample_data1,2022-12-24,ユニークビジョンプログラミングコンテスト2022 冬(AtCoder Beginner Contest 283),6574,116,17,+10,https://atcoder.jp/contests/abc283,300,2,47,49
sample_data1,2022-11-05,AtCoder Beginner Contest 276,7119,40,7,+5,https://atcoder.jp/contests/abc276,0,0,0,0
sample_data1,2022-10-29,AtCoder Beginner Contest 275,6368,48,2,-,https://atcoder.jp/contests/abc275,0,0,0,0
